dataset,model,seed,variant,sigma,acc,nll,ece,brier
cifar10,cnn_small,0,base,0.0,0.8289,0.5030270260346087,0.015838807448744774,0.24681374430656433
cifar10,cnn_small,0,base,0.25,0.1744,3.473576554769202,0.45157015323638916,1.1583853960037231
cifar10,cnn_small,1,base,0.0,0.8283,0.5018212482144561,0.010022930800914764,0.2454063445329666
cifar10,cnn_small,1,base,0.25,0.1303,5.712031648128847,0.7282938361167908,1.5175362825393677
cifar10,cnn_small,2,base,0.0,0.8128,0.5410950334766244,0.017822591587901115,0.2620982825756073
cifar10,cnn_small,2,base,0.25,0.1402,4.344238184675386,0.5353429317474365,1.264163851737976
cifar10,cnn_small,0,plr,0.0,0.7545,0.9149747966211054,0.21751874685287476,0.40974345803260803
cifar10,cnn_small,0,plr,0.25,0.1582,2.79243868815748,0.37587323784828186,1.0790742635726929
cifar10,cnn_small,1,plr,0.0,0.7707,0.8884477947331682,0.23040977120399475,0.3978818953037262
cifar10,cnn_small,1,plr,0.25,0.1812,2.4252063020875183,0.3151199221611023,1.000897765159607
cifar10,cnn_small,2,plr,0.0,0.7578,0.943041733548611,0.24319255352020264,0.4264602065086365
cifar10,cnn_small,2,plr,0.25,0.1548,2.601630965365639,0.3286052942276001,1.0356653928756714
