run,path,method,seed,ece
mnist_mlp_plr_20250829-120429,C:\Users\Remi\projects\plr\runs\mnist_mlp_plr_20250829-120429,plr_0.7,42,0.0770667791366577
mnist_mlp_plr_20250829-120523,C:\Users\Remi\projects\plr\runs\mnist_mlp_plr_20250829-120523,plr_0.7,42,0.0770667791366577
mnist_mlp_plr_20250829-120615,C:\Users\Remi\projects\plr\runs\mnist_mlp_plr_20250829-120615,plr_0.7,42,0.0770667791366577
mnist_mlp_plr_20250829-120707,C:\Users\Remi\projects\plr\runs\mnist_mlp_plr_20250829-120707,plr_0.7,42,0.0770667791366577
mnist_mlp_plr_20250829-120759,C:\Users\Remi\projects\plr\runs\mnist_mlp_plr_20250829-120759,plr_0.7,42,0.0770667791366577
mnist_mlp_plr_20250829-120852,C:\Users\Remi\projects\plr\runs\mnist_mlp_plr_20250829-120852,plr_0.7,42,0.0770667791366577
mnist_mlp_plr_20250829-120944,C:\Users\Remi\projects\plr\runs\mnist_mlp_plr_20250829-120944,plr_0.7,42,0.0770667791366577
mnist_mlp_plr_20250829-121036,C:\Users\Remi\projects\plr\runs\mnist_mlp_plr_20250829-121036,plr_0.7,42,0.0770667791366577
mnist_mlp_plr_20250829-121128,C:\Users\Remi\projects\plr\runs\mnist_mlp_plr_20250829-121128,plr_0.7,42,0.0770667791366577
mnist_mlp_plr_20250829-121219,C:\Users\Remi\projects\plr\runs\mnist_mlp_plr_20250829-121219,plr_0.7,42,0.0770667791366577
mnist_mlp_plr_20250829-122618,C:\Users\Remi\projects\plr\runs\mnist_mlp_plr_20250829-122618,plr_0.7,42,0.0770667791366577
mnist_mlp_plr_20250829-122711,C:\Users\Remi\projects\plr\runs\mnist_mlp_plr_20250829-122711,plr_0.7,42,0.0770667791366577
mnist_mlp_plr_20250829-122805,C:\Users\Remi\projects\plr\runs\mnist_mlp_plr_20250829-122805,plr_0.7,42,0.0770667791366577
mnist_mlp_plr_20250829-122859,C:\Users\Remi\projects\plr\runs\mnist_mlp_plr_20250829-122859,plr_0.7,42,0.0770667791366577
mnist_mlp_plr_20250829-122952,C:\Users\Remi\projects\plr\runs\mnist_mlp_plr_20250829-122952,plr_0.7,42,0.0770667791366577
mnist_mlp_ce_s0_clean,C:\Users\Remi\projects\plr\runs\mnist_mlp_ce_s0_clean,ce,0,0.0035067531280219555
mnist_mlp_ce_s1_clean,C:\Users\Remi\projects\plr\runs\mnist_mlp_ce_s1_clean,ce,1,0.0022612405009567738
mnist_mlp_ce_s2_clean,C:\Users\Remi\projects\plr\runs\mnist_mlp_ce_s2_clean,ce,2,0.004669461399316788
mnist_mlp_ce_s3_clean,C:\Users\Remi\projects\plr\runs\mnist_mlp_ce_s3_clean,ce,3,0.0031610806472599506
mnist_mlp_ce_s4_clean,C:\Users\Remi\projects\plr\runs\mnist_mlp_ce_s4_clean,ce,4,0.0030281569343060255
