variant,seed,sigma,acc,nll,ece,brier
base,0,0.0,0.9990000128746033,0.07805758714675903,0.06589393317699432,0.03144790977239609
base,0,0.25,0.9539999961853027,0.15837833285331726,0.0461619570851326,0.0879196971654892
base,1,0.0,0.9940000176429749,0.07451734691858292,0.055826619267463684,0.03090929612517357
base,1,0.25,0.9599999785423279,0.14307859539985657,0.040491100400686264,0.07858771830797195
base,2,0.0,0.9975000023841858,0.08154866844415665,0.06654014438390732,0.03663306310772896
base,2,0.25,0.9585000276565552,0.17401057481765747,0.06088240444660187,0.09184157848358154
plr,0,0.0,0.9934999942779541,0.08473414927721024,0.06442198902368546,0.03314811363816261
plr,0,0.25,0.9599999785423279,0.1429782211780548,0.05544605478644371,0.07684139162302017
plr,1,0.0,0.9919999837875366,0.08027340471744537,0.0572643056511879,0.03449123725295067
plr,1,0.25,0.9605000019073486,0.14556336402893066,0.04576614126563072,0.07742492854595184
plr,2,0.0,0.9925000071525574,0.08873171359300613,0.06765437126159668,0.03765585273504257
plr,2,0.25,0.9505000114440918,0.14625808596611023,0.044954948127269745,0.08171138167381287
